"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","sign","width"
"55.0","interacts with","Solyc04g080500 (interacts with) 3-methyl-2-oxobutanoate dehydrogenase ","false","interacts with","Solyc04g080500 (interacts with) 3-methyl-2-oxobutanoate dehydrogenase ","1","0.202699566286516"
"55.0","interacts with","Solyc04g080500 (interacts with) ERF2a","false","interacts with","Solyc04g080500 (interacts with) ERF2a","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Rho GTPase activating protein 12","false","interacts with","Solyc04g080500 (interacts with) Rho GTPase activating protein 12","-1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Solyc04g076950","false","interacts with","Solyc04g080500 (interacts with) Solyc04g076950","-1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Solyc04g081560","false","interacts with","Solyc04g080500 (interacts with) Solyc04g081560","0","0.202699566286516"
"55.0","interacts with","Solyc04g080500 (interacts with) Solyc04g081630","false","interacts with","Solyc04g080500 (interacts with) Solyc04g081630","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) ATP-citrate lyase A-2","false","interacts with","Solyc04g080500 (interacts with) ATP-citrate lyase A-2","-1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Ribonuclease T2","false","interacts with","Solyc04g080500 (interacts with) Ribonuclease T2","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Solyc05g009230","false","interacts with","Solyc04g080500 (interacts with) Solyc05g009230","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Aquaporin 2","false","interacts with","Solyc04g080500 (interacts with) Aquaporin 2","1","0.202699566286516"
"55.0","interacts with","Solyc04g080500 (interacts with) Pectinesterase","false","interacts with","Solyc04g080500 (interacts with) Pectinesterase","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Solyc06g035710","false","interacts with","Solyc04g080500 (interacts with) Solyc06g035710","1","0.202699566286516"
"55.0","interacts with","Solyc04g080500 (interacts with) NAC-domain TF protein","false","interacts with","Solyc04g080500 (interacts with) NAC-domain TF protein","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Solyc06g071480","false","interacts with","Solyc04g080500 (interacts with) Solyc06g071480","-1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Cellulose synthase-like C6 glycosyltransferase family 2","false","interacts with","Solyc04g080500 (interacts with) Cellulose synthase-like C6 glycosyltransferase family 2","-1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Pathogenesis-related ","false","interacts with","Solyc04g080500 (interacts with) Pathogenesis-related ","-1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Alkaline alpha galactosidase 2","false","interacts with","Solyc04g080500 (interacts with) Alkaline alpha galactosidase 2","1","0.202699566286516"
"55.0","interacts with","Solyc04g080500 (interacts with) Solyc07g008010","false","interacts with","Solyc04g080500 (interacts with) Solyc07g008010","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Solyc07g018070","false","interacts with","Solyc04g080500 (interacts with) Solyc07g018070","-1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Solyc07g052910","false","interacts with","Solyc04g080500 (interacts with) Solyc07g052910","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) S-locus glycoprotein ","false","interacts with","Solyc04g080500 (interacts with) S-locus glycoprotein ","1","0.202699566286516"
"55.0","interacts with","Solyc04g080500 (interacts with) Myosin-like protein ","false","interacts with","Solyc04g080500 (interacts with) Myosin-like protein ","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Solyc08g007230","false","interacts with","Solyc04g080500 (interacts with) Solyc08g007230","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) HMGS","false","interacts with","Solyc04g080500 (interacts with) HMGS","-1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Potassium channel","false","interacts with","Solyc04g080500 (interacts with) Potassium channel","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Lipoxygenase","false","interacts with","Solyc04g080500 (interacts with) Lipoxygenase","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Solyc08g061060","false","interacts with","Solyc04g080500 (interacts with) Solyc08g061060","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) N-acetyltransferase","false","interacts with","Solyc04g080500 (interacts with) N-acetyltransferase","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Solyc08g068800","false","interacts with","Solyc04g080500 (interacts with) Solyc08g068800","-1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) ERF1A","false","interacts with","Solyc04g080500 (interacts with) ERF1A","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) ERF1","false","interacts with","Solyc04g080500 (interacts with) ERF1","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) ERF2b","false","interacts with","Solyc04g080500 (interacts with) ERF2b","-1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Zinc finger and SCAN domain containing 29 ","false","interacts with","Solyc04g080500 (interacts with) Zinc finger and SCAN domain containing 29 ","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Peptide transporter-like protein","false","interacts with","Solyc04g080500 (interacts with) Peptide transporter-like protein","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Solyc10g053910","false","interacts with","Solyc04g080500 (interacts with) Solyc10g053910","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Solyc10g078550","false","interacts with","Solyc04g080500 (interacts with) Solyc10g078550","1","0.202699566286516"
"55.0","interacts with","Solyc04g080500 (interacts with) Soul heme-binding ","false","interacts with","Solyc04g080500 (interacts with) Soul heme-binding ","-1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Beta-xylosidase 1","false","interacts with","Solyc04g080500 (interacts with) Beta-xylosidase 1","1","0.202699566286516"
"55.0","interacts with","Solyc04g080500 (interacts with) Solyc12g006810","false","interacts with","Solyc04g080500 (interacts with) Solyc12g006810","-1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Solyc12g006840","false","interacts with","Solyc04g080500 (interacts with) Solyc12g006840","1","1.0"
"55.0","interacts with","Solyc04g080500 (interacts with) Solyc12g042210","false","interacts with","Solyc04g080500 (interacts with) Solyc12g042210","1","1.0"
